1|2025-11-07 09:50:35|Козлов|Груши|28000.25
2|2025-11-07 09:50:36|Козлов|Яблоки|15000.00
3|2025-11-07 09:50:37|Иванов|Чили|35000.50
4|2025-11-07 09:50:39|Козлов|Чили|35000.50
5|2025-11-07 09:50:41|Козлов|Груши|28000.25
6|2025-11-07 09:50:42|Смирнов|Чили|35000.50
7|2025-11-07 09:50:42|Иванов|Чили|35000.50
8|2025-11-07 09:50:45|Смирнов|Горох|50000.00
9|2025-11-07 09:50:45|Иванов|Яблоки|15000.00
10|2025-11-07 09:50:48|Иванов|Груши|28000.25
11|2025-11-07 09:50:50|Иванов|Чили|35000.50
12|2025-11-07 09:50:51|Сидоров|Горох|50000.00
13|2025-11-07 09:50:52|Иванов|Горох|50000.00
14|2025-11-07 09:50:52|Смирнов|Чили|35000.50
15|2025-11-07 09:50:55|Сидоров|Горох|50000.00
16|2025-11-07 09:50:56|Козлов|Яблоки|15000.00
